test,layer,biterror,acc
0.0,0.0,0.0625,0.002076124567474
0.0,1.0,0.0625,0.5797001153402538
0.0,2.0,0.0625,0.4897347174163783
0.0,3.0,0.0625,0.7923875432525952
0.0,4.0,0.0625,0.8435986159169551
0.0,5.0,0.0625,0.7889273356401384
0.0,0.0,0.03125,0.0046136101499423
0.0,1.0,0.03125,0.7340253748558246
0.0,2.0,0.03125,0.7111880046136102
0.0,3.0,0.03125,0.8262975778546713
0.0,4.0,0.03125,0.8463667820069204
0.0,5.0,0.03125,0.8032295271049597
0.0,0.0,0.015625,0.0025374855824682
0.0,1.0,0.015625,0.823760092272203
0.0,2.0,0.015625,0.8179930795847751
0.0,3.0,0.015625,0.8380622837370242
0.0,4.0,0.015625,0.851441753171857
0.0,5.0,0.015625,0.8343713956170704
0.0,0.0,0.0078125,0.0023068050749711
0.0,1.0,0.0078125,0.8422145328719723
0.0,2.0,0.0078125,0.8426758938869665
0.0,3.0,0.0078125,0.8500576701268743
0.0,4.0,0.0078125,0.8479815455594002
0.0,5.0,0.0078125,0.8350634371395617
0.0,0.0,0.00390625,0.0029988465974625
0.0,1.0,0.00390625,0.8484429065743945
0.0,2.0,0.00390625,0.8472895040369088
0.0,3.0,0.00390625,0.8560553633217993
0.0,4.0,0.00390625,0.8585928489042676
0.0,5.0,0.00390625,0.8519031141868512
0.0,0.0,0.001953125,0.0029988465974625
0.0,1.0,0.001953125,0.8532871972318339
0.0,2.0,0.001953125,0.8544405997693195
0.0,3.0,0.001953125,0.8565167243367935
0.0,4.0,0.001953125,0.8560553633217993
0.0,5.0,0.001953125,0.8525951557093425
0.0,0.0,0.0009765625,0.0034602076124567
0.0,1.0,0.0009765625,0.8539792387543252
0.0,2.0,0.0009765625,0.8562860438292964
0.0,3.0,0.0009765625,0.8565167243367935
0.0,4.0,0.0009765625,0.857439446366782
0.0,5.0,0.0009765625,0.8546712802768166
1.0,0.0,0.0625,0.002306805074971165
1.0,1.0,0.0625,0.5462514417531719
1.0,2.0,0.0625,0.556401384083045
1.0,3.0,0.0625,0.802076124567474
1.0,4.0,0.0625,0.8405997693194925
1.0,5.0,0.0625,0.782237600922722
1.0,0.0,0.03125,0.0025374855824682814
1.0,1.0,0.03125,0.7847750865051903
1.0,2.0,0.03125,0.7324106113033448
1.0,3.0,0.03125,0.8198385236447521
1.0,4.0,0.03125,0.8433679354094579
1.0,5.0,0.03125,0.802076124567474
1.0,0.0,0.015625,0.0025374855824682814
1.0,1.0,0.015625,0.8274509803921568
1.0,2.0,0.015625,0.803921568627451
1.0,3.0,0.015625,0.8359861591695502
1.0,4.0,0.015625,0.8493656286043829
1.0,5.0,0.015625,0.821914648212226
1.0,0.0,0.0078125,0.0057670126874279125
1.0,1.0,0.0078125,0.8470588235294118
1.0,2.0,0.0078125,0.835755478662053
1.0,3.0,0.0078125,0.8512110726643599
1.0,4.0,0.0078125,0.855363321799308
1.0,5.0,0.0078125,0.83760092272203
1.0,0.0,0.00390625,0.004844290657439446
1.0,1.0,0.00390625,0.851441753171857
1.0,2.0,0.00390625,0.8519031141868512
1.0,3.0,0.00390625,0.8535178777393311
1.0,4.0,0.00390625,0.8558246828143022
1.0,5.0,0.00390625,0.84959630911188
1.0,0.0,0.001953125,0.0034602076124567475
