test,laplacian_level,acc
0.0,0.001,0.859515570934256
0.0,0.002,0.8579008073817762
0.0,0.003,0.8579008073817762
0.0,0.004,0.8505190311418686
0.0,0.005,0.8468281430219147
0.0,0.006,0.8461361014994233
0.0,0.007,0.8422145328719723
0.0,0.008,0.8385236447520185
0.0,0.009,0.8306805074971165
0.0,0.01,0.8295271049596309
0.0,0.011,0.8223760092272203
0.0,0.012,0.8076124567474049
0.0,0.013,0.7859284890426759
0.0,0.014,0.7787773933102653
0.0,0.015,0.7628604382929642
0.0,0.016,0.7418685121107267
0.0,0.017,0.7280276816608997
1.0,0.001,0.8602076124567474
2.0,0.001,0.8583621683967705
3.0,0.001,0.8579008073817762
4.0,0.001,0.859515570934256
1.0,0.002,0.8581314878892734
2.0,0.002,0.8558246828143022
3.0,0.002,0.8569780853517878
4.0,0.002,0.8572087658592848
1.0,0.003,0.8542099192618223
2.0,0.003,0.8544405997693195
3.0,0.003,0.8537485582468282
4.0,0.003,0.8537485582468282
1.0,0.004,0.8537485582468282
2.0,0.004,0.8546712802768166
3.0,0.004,0.855363321799308
4.0,0.004,0.8525951557093425
1.0,0.005,0.8477508650519031
2.0,0.005,0.8472895040369088
3.0,0.005,0.8493656286043829
4.0,0.005,0.8491349480968858
1.0,0.006,0.8459054209919262
2.0,0.006,0.845444059976932
3.0,0.006,0.8438292964244521
4.0,0.006,0.8435986159169551
1.0,0.007,0.8392156862745098
2.0,0.007,0.8424452133794694
3.0,0.007,0.8410611303344867
4.0,0.007,0.8429065743944637
1.0,0.008,0.8341407151095732
2.0,0.008,0.8392156862745098
3.0,0.008,0.8389850057670127
4.0,0.008,0.8339100346020761
1.0,0.009,0.8332179930795848
2.0,0.009,0.8272202998846597
3.0,0.009,0.8288350634371395
4.0,0.009,0.8309111880046136
1.0,0.01,0.8249134948096886
2.0,0.01,0.8244521337946944
3.0,0.01,0.8249134948096886
4.0,0.01,0.827681660899654
1.0,0.011,0.8205305651672433
2.0,0.011,0.8133794694348327
3.0,0.011,0.8161476355247982
4.0,0.011,0.8214532871972319
1.0,0.012,0.8050749711649365
2.0,0.012,0.8080738177623991
3.0,0.012,0.8062283737024222
4.0,0.012,0.8055363321799308
1.0,0.013,0.7856978085351788
2.0,0.013,0.794002306805075
3.0,0.013,0.7958477508650519
4.0,0.013,0.8041522491349481
1.0,0.014,0.7815455594002306
2.0,0.014,0.776239907727797
3.0,0.014,0.7847750865051903
4.0,0.014,0.7836216839677047
1.0,0.015,0.7730103806228373
2.0,0.015,0.7573241061130335
3.0,0.015,0.7679354094579008
4.0,0.015,0.7635524798154556
1.0,0.016,0.7439446366782007
2.0,0.016,0.7397923875432526
3.0,0.016,0.7469434832756632
4.0,0.016,0.744636678200692
1.0,0.017,0.7220299884659747
2.0,0.017,0.7277970011534025
3.0,0.017,0.7190311418685121
4.0,0.017,0.7312572087658593
5.0,0.001,0.8583621683967705
6.0,0.001,0.8592848904267589
7.0,0.001,0.8604382929642446
8.0,0.001,0.8576701268742791
9.0,0.001,0.8572087658592848
5.0,0.002,0.857439446366782
