test,biterror1,biterror2,mia_individual,pcc
0,0.125,0.125,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
0,0.125,0.125,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
0,0.125,0.000244140625,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
0,0.125,0.000244140625,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
0,0.000244140625,0.125,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
0,0.000244140625,0.125,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
0,0.000244140625,0.000244140625,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
0,0.000244140625,0.000244140625,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.125,0.125,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.125,0.125,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.125,0.000244140625,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.125,0.000244140625,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.000244140625,0.125,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.000244140625,0.125,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.000244140625,0.000244140625,0,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
1,0.000244140625,0.000244140625,1,"tensor(0.2040, device='cuda:0', grad_fn=<AddBackward0>)"
